,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
1,William Amponsah,SR-4,West Texas A&M,04:41.8,23:21.0,1,LIVE IN LOU
2,Jacob Pyeatt,SR-4,Arkansas State,04:44.5,23:34.5,2,LIVE IN LOU
3,Dennis Cheruiyot,FR-1,West Texas A&M,04:49.7,24:00.2,3,LIVE IN LOU
4,Sawyer Dagan,SR-4,Clemson,04:50.1,24:02.3,4,LIVE IN LOU
5,Avery Jaynes,SR-4,Augusta,04:50.2,24:02.8,5,LIVE IN LOU
6,Chase Atkins,JR-3,Bellarmine,04:50.3,24:03.0,6,LIVE IN LOU
7,Yami Albrecht,SR-4,Oakland,04:50.3,24:03.3,7,LIVE IN LOU
8,Emerald Svienty,SR-4,North Central (Ill.),04:50.5,24:04.2,8,LIVE IN LOU
9,Jack Kelke,SO-2,Michigan,04:50.5,24:04.3,9,LIVE IN LOU
10,Jozef Meyers,JR-3,Michigan,04:51.6,24:09.6,10,LIVE IN LOU
11,Daniel Chavez,JR-3,Illinois-Chicago,04:51.7,24:10.2,11,LIVE IN LOU
12,BJ Sorg,SO-2,North Central (Ill.),04:51.7,24:10.4,12,LIVE IN LOU
13,Luke Gaddis,JR-3,Lee (Tenn.),04:51.9,24:10.9,13,LIVE IN LOU
14,Anthony Hancock,JR-3,Michigan,04:52.0,24:11.6,14,LIVE IN LOU
15,Bryce Anderson,JR-3,Charlotte,04:52.0,24:11.8,15,LIVE IN LOU
16,Maddon Muhammad,JR-3,Charlotte,04:52.5,24:14.2,16,LIVE IN LOU
17,Harry Louradour,SR-4,West Texas A&M,04:52.6,24:14.6,17,LIVE IN LOU
18,Zach Stewart,SR-4,Michigan,04:53.0,24:16.6,18,LIVE IN LOU
19,Natnael Weldemichael,JR-3,Northern Kentucky,04:53.3,24:18.2,19,LIVE IN LOU
20,Luke Malone,SR-4,Illinois-Chicago,04:53.5,24:19.1,20,LIVE IN LOU
21,Colton O'Hara,JR-3,Northern Kentucky,04:53.6,24:19.5,21,LIVE IN LOU
22,Aaron Himes,SR-4,Lee (Tenn.),04:54.0,24:21.6,22,LIVE IN LOU
23,Peter Baracco,SO-2,Michigan,04:54.1,24:22.1,23,LIVE IN LOU
24,Ryan Lovelace,JR-3,Lee (Tenn.),04:54.2,24:22.4,24,LIVE IN LOU
25,Michael Hancock,SR-4,Oakland,04:54.6,24:24.5,25,LIVE IN LOU
